wallet_address,total_estimated_airdrop,current_points,initial_airdrop_amount
7TaBHvMpNJqUzf3MEoGhWfrhBnnXFqJDcfP6Ji5t4NzU,1008720.0872533086,100,79999.4
7W6XuLX7vQ5cVjveLMprrR4XV4AHMDn4o2rbG3qGf2mL,928720.6872533086,100,0
7XMAXyPnLDRdFJx81UpFc23pqx8bJquombChabLfoY58,928720.6872533086,100,0
7ZCu6jAnwpf4TZyd9ypuYYTufPWoyz8c48FkwWHpnWyr,0,100,0
7aTaBpqiDm6svKoBb8XZPyTgrJFpgi6dWSFM28iyuVg5,1185155.0860083976,175,0
7agFfy6UttixU8iwA2NfbR5S8DhxsekU3ktEPgRcirrw,1903877.4088692826,205,0
7b7heoFL5r86pcCeyYxSig3QbyGXGYTvRoKLcMe8rxA5,928720.6872533086,100,0
7e8xcukLDm5KNJbdZEcPxCvqy5kuatDqVqVSbt51hngG,1903877.4088692826,205,0
7h6C72BA74Jv5kzxxnVsXfoJWW2Hd181hSWafKBRJ8NH,1903877.4088692826,205,0
7otNeqLG9vs5rZNuXJxBe8QGe4R73uEGzMYKVuDjkAgk,23656667.10886928,205,21752789.7
7prAuvCPcbdMoKuwAj69DbMVKcghBjrSiB7Q6RUfiDLK,0,100,0
7qmPSirR8zvQ7Dd6ZjPWt9bYL51bEa9aoXKh9oVov3as,1937676.6938788476,305,0
7xjSfK29x33CrMW4apFHHN1oRHkEXDTLd5p8QrkVGvZp,928720.6872533086,100,0
85gSxH2hdMRa8UovUvhoKNXVihTKqRt354SzbLDkq3yG,1207336.893429301,130,0
870689305789779968,928720.6872533086,100,0
88ZKgCU4iZ7WWWjbqcoTpAEZFqthrfiouPdnMTWeJkjT,0,100,0
89mGrpdK6wb32b1WMh4UhDGhANCWUYti712LQig2KGRb,1910979.8088692825,205,7102.4
8Djf3wfcS7gGr8aRorP9H31oKjDG15XBN3PA4ycwJjn8,1207336.893429301,130,0
8ES9M1g1rZ4J88ox2hdD2JiZHkjunEFp7gLurJwrBRJM,0,100,0
8FPRjnEoP9FoTNpJp3VZbGABFvp58MSyXedKEccMFh9S,928720.6872533086,100,0
8FTBme5JwZajCQeiNWUhqqngiT1f1Fq44hbBXxb4fdDT,3018342.233573253,325,0
8GhA951x4FNGiswGQ547AXD3kAdNzPn52Qd2uTo135h8,928720.6872533086,100,0
8H7FNs6YPijzFGZMgxqA9q9k5BzLxZz1cCF7QZGcS8La,0,100,0
8L3W66EExFa47hBhcMG24gwNxZtWifd9hyfxpt47XB2C,1903877.4088692826,205,0
8LM9a6D5D52to9vYgCBthC6yRtsqPDXmH3ywpRUDcSfA,1207336.893429301,130,0
8N6a3dJKxg23RfuZNBJoGaQ8gS3NBGNcb3cwzyy1zFqJ,29033219.48725331,100,28104498.8
8RKTqKpkjAYz9GRFAX1uuoby5NwALLvd6tkXfDkCYtCs,2261794.7819438693,355,0
8RPQ1CkzWiyMqYU7xgA31dgWXogecQPc9XrfjxvKob1F,1857441.3745066172,200,0
8YYYe1wLN5d9CzBLd25Z1Mvfmi8tjqQQDhKgV65T4ohG,1903877.4088692826,205,0
8ZXsJ7ViBpuGii9p64zBjtFT6G83CrKQwDvJYJrPuoGB,2539901.539619328,405,0
8bFx1oZYUyxEQfrUiwbwpMNCHT399ERZ9FRV3nZMHgvF,1932765.1215107252,305,0
8ikHJSMbJ4Ha6hZJDTcXoubqNBFbBBZXXCR1qiPuyGfN,2832598.0961225913,305,0
8o54Ga6QcVrwjXm2GG8ccujoSQtfi2uFzPi2dz5J3y7u,1931541.1164940945,305,0
8oZ7CYsHAEZ8Hni2GcYbgzyfPdkKX8MgH1nYGRhTYTBR,0,100,0
8seSUSavg7kZwbdvH5cWYXxTZLJXwxxAAUSDKmd1cSr7,1935831.9317063882,305,0
8xVEhMypgCRdYBqSewjJLVndKAPnJzLpiU16A1RuUkxZ,1160900.8590666356,125,0
8y7DKPq86CRujHHPsL1mnzNLVuyjXE122fw8T9yXCnRT,180,180,0
8yMhVDwdkwvG6d3KD6R3RhQJRZgBEovzwzHuPXtYS9V9,130,130,0
92MUibi14UfPMsU5bwV76EwDUPjyh85ByXN4N8Jrytu7,928720.6872533086,100,0
98yUvsWqbKDsGeps9gyDGJcngLvMYb2hWMAAvJ8ux4o,2553981.8899465986,275,0
9DdteJFRKRVpZpqiooeSyZdx1d6E5nCRWpmQYnhxpZGV,928720.6872533086,100,0
9G3mDm4icgPcZSqk97h3BSZjfApkMEWhMPMF9jMmMffs,1933990.6787990236,305,0
